foodname,sugar,sodium,cholesterol,potassium,saturated_fat
chocolate appe,22g,100mg,30mg,180mg,7g
sous-vide salmon tikka,3g,450mg,60mg,300mg,5g
filo pizza,10g,750mg,60mg,250mg,10g
chocolate samosa,22g,100mg,30mg,180mg,8g
fish with jamun sauce,15g,450mg,50mg,300mg,4g
dahi lasooni chicken,3g,450mg,80mg,300mg,5g
pesto fish kebabs,1g,450mg,50mg,300mg,5g
caramelized sesame smoked almonds,18g,300mg,0mg,220mg,5g
crunchy vegetable dal sattu croquettes,3g,300mg,0mg,220mg,5g
active charcoal modak,10g,60mg,0mg,100mg,4g
flax seed and beetroot modak,15g,60mg,0mg,150mg,4g
chocolate prunes gujiyas,30g,100mg,30mg,180mg,8g
betel nut popsicle,30g,30mg,0mg,80mg,0.5g
clotted cottage cheese croquettes,5g,300mg,80mg,180mg,8g
gajar tart,30g,100mg,30mg,220mg,8g
banana and maple ice lollies,30g,30mg,0mg,300mg,0.5g
shepherds salad (tamatar-kheera salaad),3g,100mg,0mg,200mg,1g
carrot ginger soup,8g,300mg,0mg,300mg,1g
dark night,30g,30mg,0mg,50mg,0g
hot chocolate,22g,120mg,30mg,180mg,7g
slow cooked spiced sangria,20g,30mg,0mg,150mg,0g
detox haldi tea,2g,5mg,0mg,50mg,0g
holi special ice tea thandai,30g,30mg,50mg,200mg,10g
grilled lemon margarita,20g,100mg,0mg,50mg,0g
spanish artichoke and spinach dip,3g,600mg,50mg,300mg,8g
beetroot and green apple soup,8g,300mg,0mg,300mg,1g
baba budan no. 7,3g,30mg,0mg,50mg,0g
fruit infused tea,2g,5mg,0mg,50mg,0g
soya milk,3g,80mg,0mg,150mg,1g
spiced coffee,3g,30mg,0mg,150mg,1g
filter coffee,1g,30mg,0mg,150mg,0g
garlic and pinenut soup with burnt butter essence,3g,450mg,30mg,200mg,7g
roast turkey with cranberry sauce,8g,600mg,110mg,350mg,8g
roasted spring chicken with root veggies,3g,450mg,80mg,300mg,5g
peri peri chicken satay,8g,600mg,60mg,300mg,5g
chicken popcorn,3g,750mg,80mg,200mg,8g
half roast chicken,3g,450mg,80mg,300mg,5g
chicken biryani,3g,750mg,60mg,300mg,8g
chicken farcha,3g,600mg,110mg,300mg,10g
buldak (hot and spicy chicken),10g,900mg,80mg,300mg,8g
chicken sukka,3g,450mg,80mg,300mg,8g
steamed chicken roulade,3g,450mg,60mg,300mg,5g
methi chicken masala,3g,750mg,80mg,300mg,10g
restaurant style fried chicken,3g,900mg,110mg,200mg,15g
chicken potli,3g,450mg,60mg,200mg,5g
spicy chicken masala,3g,750mg,80mg,300mg,10g
spicy chicken curry,3g,750mg,80mg,300mg,10g
crispy herb chicken,3g,600mg,80mg,200mg,8g
dahi chicken,3g,450mg,80mg,300mg,5g
amritsari chicken masala,3g,750mg,80mg,300mg,10g
chilli chicken,8g,900mg,80mg,300mg,8g
chicken tenders,3g,600mg,80mg,200mg,8g
chicken nimbu dhaniya shorba,3g,450mg,60mg,300mg,4g
garlic soya chicken,8g,750mg,80mg,300mg,5g
cauliflower and chicken biryani,3g,750mg,60mg,300mg,8g
chicken quinoa biryani,3g,600mg,60mg,400mg,5g
chicken and mushroom lasagna,10g,900mg,120mg,350mg,15g
plum and cherry roasted chicken,22g,450mg,80mg,300mg,5g
chicken roulade,3g,450mg,60mg,300mg,5g
sticky rum chicken wings,22g,750mg,110mg,200mg,15g
chicken dragon,8g,900mg,80mg,300mg,8g
chicken palwal,3g,450mg,80mg,300mg,5g
pan seared thigh of chicken,3g,300mg,80mg,300mg,5g
chicken in mahalak sauce,10g,750mg,80mg,300mg,8g
grilled kasundi honey chicken with sweet potato mash,18g,600mg,80mg,450mg,5g
chicken dong style,8g,900mg,80mg,300mg,8g
microwave tandoori chicken,3g,750mg,80mg,300mg,5g
methi malai cranberry chicken,15g,750mg,110mg,300mg,10g
southern fried chicken tenders,3g,900mg,110mg,200mg,15g
thai style chicken tikka,3g,750mg,80mg,300mg,5g
chicken gilafi kebab,3g,450mg,60mg,250mg,5g
cheese chicken kebabs,3g,750mg,120mg,250mg,15g
andhra crab meat masala,3g,750mg,75mg,300mg,5g
cajun spiced turkey wrapped with bacon,3g,900mg,120mg,350mg,15g
thai lamb balls,8g,600mg,110mg,300mg,10g
oyster lamb,8g,750mg,110mg,300mg,10g
chicken shami kebab,3g,450mg,60mg,250mg,5g
balti meat,3g,750mg,120mg,350mg,15g
coffee marinated mutton chops,3g,600mg,120mg,350mg,15g
sali boti (parsi meat dish),10g,750mg,120mg,350mg,15g
braised lamb shanks,3g,600mg,120mg,350mg,15g
bengali lamb curry,3g,750mg,120mg,350mg,15g
malabari fish curry,3g,600mg,60mg,300mg,5g
japanese fish stew,3g,450mg,50mg,300mg,4g
malabar fish curry,3g,600mg,60mg,300mg,5g
surmai curry with lobster butter rice,8g,750mg,80mg,300mg,10g
seared salmon in tabasco butter,1g,450mg,75mg,300mg,7g
fish skewers with coriander and red wine vinegar dressing,3g,450mg,50mg,300mg,4g
seafood rock filler,3g,750mg,80mg,300mg,5g
shrimp & cilantro ceviche,3g,450mg,75mg,300mg,2g
saewoo bokumbop (shrimp fried rice),8g,900mg,75mg,300mg,5g
thai prawn curry & baked rice,10g,750mg,75mg,300mg,10g
bihari fish curry,3g,600mg,50mg,300mg,5g
curry fish fingers,3g,600mg,50mg,200mg,8g
prawn and litchi salad,15g,300mg,75mg,250mg,3g
kerala fish curry,3g,600mg,50mg,300mg,5g
fish andlouse,N/A,N/A,N/A,N/A,N/A
prawn fried rice,8g,900mg,75mg,300mg,5g
damdama fish curry,3g,600mg,50mg,300mg,5g
fish with white sauce,3g,450mg,50mg,300mg,5g
chilli fish,8g,900mg,50mg,300mg,5g
fish ambultiyal,3g,600mg,50mg,300mg,5g
chettinad fish fry,3g,600mg,50mg,300mg,5g
fish moilee,3g,600mg,50mg,300mg,5g
batter fish,3g,600mg,50mg,200mg,8g
fish salan,3g,600mg,50mg,300mg,5g
spanish fish fry,3g,600mg,50mg,300mg,5g
prawn potato soup,3g,450mg,75mg,250mg,5g
red rice vermicelli kheer,25g,100mg,20mg,200mg,8g
green cucumber shots,2g,50mg,0mg,100mg,0.5g
thai pineapple rice,10g,300mg,10mg,250mg,2g
green asparagus risotto,5g,450mg,10mg,250mg,5g
veg fried rice,5g,750mg,0mg,200mg,5g
egg and garlic fried rice,5g,750mg,180mg,200mg,5g
curd rice,5g,150mg,10mg,150mg,3g
fried rice with soya chunks,5g,750mg,0mg,200mg,5g
corn pulao,3g,300mg,0mg,200mg,2g
zucchini methi pulao,3g,300mg,0mg,200mg,2g
lemon rice,3g,300mg,0mg,150mg,2g
kale channe ki biryani,3g,750mg,0mg,300mg,5g
chicken paella,5g,750mg,80mg,300mg,8g
thai fish curry,10g,750mg,50mg,300mg,10g
vegetable pulao,3g,300mg,0mg,200mg,2g
oats shallots pulao,3g,300mg,0mg,200mg,2g
lotus leaf wrapped fried rice,5g,750mg,0mg,200mg,5g
vegetable biryani,3g,750mg,0mg,300mg,5g
avial with red rice,3g,200mg,0mg,250mg,2g
rice in lamb stock,3g,450mg,120mg,350mg,8g
vegetable bruschetta,5g,200mg,0mg,150mg,2g
red wine braised mushroom flatbread,5g,450mg,0mg,200mg,3g
strawberry & pistachio breton tart,25g,150mg,30mg,150mg,10g
tricolour pizza,10g,750mg,60mg,250mg,10g
instant rava dosa,3g,150mg,0mg,100mg,2g
easy bread poha,5g,300mg,0mg,150mg,2g
bread chana basket,3g,300mg,0mg,200mg,2g
spaghetti with clams & crispy bread crumbs,5g,450mg,40mg,250mg,5g
kasha bread,3g,200mg,0mg,150mg,1g
egg paratha,3g,300mg,180mg,150mg,5g
egg and cheddar cheese sandwich,5g,600mg,150mg,200mg,10g
egg in a blanket,3g,300mg,180mg,150mg,5g
bread dahi vada,10g,200mg,10mg,150mg,3g
cheese and avocado parantha,5g,450mg,30mg,200mg,5g
bread with tomatoes and olives,5g,300mg,0mg,200mg,2g
lemon poppy seed cake,30g,150mg,40mg,150mg,10g
chocolate kaju katli,25g,50mg,10mg,150mg,8g
mix fruit laccha rabri tortilla crunch,25g,100mg,20mg,200mg,8g
pista chocolate & mandarin,25g,100mg,20mg,180mg,8g
banana and chia tea cake,25g,150mg,40mg,200mg,10g
chocolate and almond rum ball,30g,50mg,20mg,150mg,10g
lemon sushi cake,30g,100mg,30mg,150mg,8g
chocolate doughnut,25g,150mg,40mg,100mg,10g
spiced almond banana jaggery cake,25g,150mg,40mg,200mg,10g
fennel scented sweet banana fritters,25g,50mg,0mg,200mg,5g
camel milk cake tart,25g,150mg,40mg,200mg,10g
quinoa coconut crumble custard,25g,100mg,30mg,200mg,8g
lamb barley pot,5g,450mg,120mg,350mg,10g
al hachi chicken,3g,450mg,80mg,300mg,5g
berry parfait hazelnut white chocolate sable,25g,100mg,30mg,150mg,10g
badam papite ke kebab with pineapple salsa,10g,300mg,0mg,250mg,5g
mixed vegetable soup,5g,300mg,0mg,300mg,1g
duo of chocolate and strawberry,25g,50mg,20mg,100mg,8g
mustard-parmesan whole roasted cauliflower,5g,450mg,20mg,300mg,3g
hassel back sweet potatoes,8g,100mg,0mg,350mg,2g
mother christmas cake,40g,150mg,40mg,200mg,10g
matcha tea macarons,25g,100mg,20mg,100mg,8g
chocolate fudge cookies,30g,200mg,50mg,200mg,15g
veg summer rolls,3g,100mg,0mg,150mg,1g
eggless vanilla cake,30g,150mg,0mg,100mg,10g
sweet potato pie,25g,150mg,30mg,300mg,8g
wok tossed asparagus in mild garlic sauce,3g,150mg,0mg,150mg,1g
cinnamon oatmeal pancakes,15g,200mg,30mg,200mg,5g
chocolate chip cheesecake,30g,200mg,80mg,150mg,15g
chocolate lava cake,25g,50mg,40mg,150mg,8g
eggless coffee cupcakes,25g,150mg,0mg,100mg,10g
chicken in white wine,3g,450mg,80mg,300mg,5g
apple and walnut cake,25g,150mg,40mg,200mg,10g
gluten free almond cake,25g,150mg,0mg,150mg,8g
cinnamon star cookies,20g,150mg,20mg,100mg,8g
whole wheat cake,25g,150mg,40mg,150mg,8g
plum cake,30g,150mg,40mg,200mg,10g
double chocolate easter cookies,30g,200mg,50mg,200mg,15g
holi special malai kofta,5g,600mg,80mg,250mg,15g
homemade gulab jamun,35g,50mg,30mg,100mg,8g
lamb rogan josh,5g,750mg,120mg,350mg,15g
fish curry,5g,600mg,50mg,300mg,5g
rice kheer,25g,100mg,20mg,200mg,8g
assorted rice kheer sushi,25g,100mg,20mg,200mg,8g
jalebi with fennel yogurt pudding,30g,100mg,20mg,150mg,8g
broccoli souffle,5g,300mg,30mg,250mg,5g
christmas dry fruit cake,40g,150mg,40mg,200mg,10g
microwave chicken steak,3g,450mg,80mg,300mg,5g
cheese and ham roll,5g,450mg,60mg,200mg,10g
vegetable manchurian,8g,750mg,0mg,250mg,5g
jerk chicken,5g,600mg,80mg,300mg,5g
lemon poppy seed cake,30g,150mg,40mg,150mg,10g
steam bunny chicken bao,5g,450mg,50mg,200mg,5g
double chocolate easter cookies,30g,200mg,50mg,200mg,15g
orange quinoa sevaiyan,15g,100mg,0mg,200mg,3g
spicy creamy kadai chicken,5g,750mg,110mg,300mg,15g
apple kheer,25g,100mg,20mg,200mg,8g
ragi oats ladoo (laddu),20g,50mg,0mg,200mg,5g
lamb korma,5g,750mg,120mg,350mg,15g
ragi coconut ladoo (laddu),20g,50mg,0mg,200mg,5g
quick chicken curry,5g,600mg,80mg,300mg,10g
chicken shaami kebab,3g,450mg,60mg,250mg,5g
chicken masala,5g,750mg,80mg,300mg,10g
holi special bhang pakode,3g,300mg,0mg,150mg,5g
kuttu atta pizza,10g,750mg,0mg,250mg,5g
arbi kofta with mint yogurt dip,3g,300mg,0mg,200mg,3g
puffed rice squares,10g,200mg,0mg,100mg,1g
red velvet banana pudding,30g,200mg,60mg,250mg,10g
baked wild berry cheesecake,30g,200mg,80mg,150mg,15g
spiced orange valencia cake,30g,150mg,40mg,150mg,10g
jalapeno cheese fingers,3g,450mg,60mg,200mg,10g
californian breakfast benedict,5g,600mg,250mg,250mg,10g
chocolate marquise,30g,50mg,50mg,150mg,15g
corn & jalapeno poppers,3g,450mg,20mg,200mg,5g
banana phirni tartlets with fresh strawberries,25g,100mg,20mg,200mg,8g
mexican pizza,10g,750mg,60mg,250mg,10g
apple and pear cake,25g,150mg,40mg,200mg,10g
microwave chocolate cake,25g,150mg,40mg,150mg,10g
white chocolate and lemon pastry,25g,150mg,30mg,150mg,10g
mixed beans salad,5g,200mg,0mg,250mg,1g
baked raw banana samosa,3g,300mg,0mg,200mg,3g
coconut mango oatmeal with cinnamon hint,15g,100mg,0mg,200mg,3g
fruit cube salad,15g,50mg,0mg,200mg,0.5g
veg hakka noodles,5g,750mg,0mg,200mg,5g
strawberry quinoa pancakes,15g,200mg,0mg,200mg,3g
spinach & banana pancakes,15g,200mg,30mg,250mg,5g
french onion grilled cheese,5g,600mg,60mg,200mg,10g
pasta in cheese sauce,5g,450mg,60mg,200mg,10g
deviled scotch egg,3g,300mg,250mg,150mg,8g
amritsari fish,3g,600mg,50mg,300mg,5g
butter chicken,5g,750mg,110mg,300mg,15g
chicken razala,5g,750mg,110mg,300mg,15g
chicken tikka,3g,600mg,80mg,300mg,5g
chicken tikka masala,5g,750mg,110mg,300mg,15g
mushroom matar,3g,450mg,0mg,250mg,3g
tandoori chicken,3g,600mg,80mg,300mg,5g
tandoori fish tikka,3g,600mg,50mg,300mg,5g
chettinadu chicken,5g,750mg,80mg,300mg,10g
chicken 65,5g,750mg,80mg,300mg,10g
kolim / jawla,3g,600mg,75mg,300mg,5g
black rice,1g,5mg,0mg,100mg,0g
brown rice,1g,5mg,0mg,100mg,0g
koldil chicken,5g,600mg,80mg,300mg,10g
red rice,1g,5mg,0mg,100mg,0g
rice,0g,5mg,0mg,50mg,0g
sunga pork,3g,450mg,120mg,300mg,15g
banana chips,15g,150mg,0mg,200mg,5g
flattened rice / poha,3g,200mg,0mg,150mg,2g
Miso-Butter Roast Chicken With Acorn Squash Panzanella,8g,600mg,80mg,400mg,10g
Honeydew Salad with Ginger Dressing and Peanuts,15g,100mg,0mg,300mg,3g
Kimchi and Miso Noodle Soup,5g,900mg,10mg,350mg,2g
Spicy Korean Steak,5g,750mg,120mg,300mg,15g
French Spiced Bread,15g,300mg,20mg,150mg,3g
Quinoa Bowl and Berries,15g,50mg,0mg,250mg,1g
Shawarma-Spiced Braised Leg of Lamb,5g,750mg,120mg,350mg,15g
Roast Pork Tenderloin with Carrot Romesco,5g,450mg,80mg,300mg,8g
Crispy Pakora,3g,300mg,0mg,150mg,5g
Lamb Tikka,3g,600mg,110mg,350mg,10g
Grilled Sweet Prawn,3g,450mg,75mg,300mg,5g
Pho Tai rare beef,5g,900mg,80mg,300mg,5g
Summer Rolls,3g,150mg,10mg,150mg,1g
Spice Chicken Baugette,5g,600mg,80mg,250mg,8g
Bean Curd Rolls,3g,300mg,0mg,200mg,3g
Pho Chay Soup,5g,600mg,0mg,250mg,3g
Pho Ga Chicken,5g,750mg,80mg,300mg,5g
Chicken Sweet Corn Soup,5g,450mg,50mg,200mg,3g
Thai Spareribs,8g,750mg,120mg,300mg,15g
Frenched Green Beans,3g,200mg,0mg,150mg,2g
Lemony Crab Salad with Baby Greens,5g,300mg,75mg,200mg,2g
Biryani,3g,750mg,80mg,300mg,8g
Tandoori Chicken,3g,600mg,80mg,300mg,5g
Shrimp Olivier,5g,450mg,75mg,250mg,5g
Potato Casserole,5g,450mg,60mg,400mg,8g
Thyme-Roasted Sweet Potatoes,8g,100mg,0mg,350mg,2g
Noodle Curry,8g,750mg,80mg,300mg,10g
Sukuti Chatpate,3g,450mg,80mg,250mg,8g
Cheese Naan,3g,300mg,30mg,100mg,5g
Mushroom Rice,3g,200mg,0mg,150mg,2g
Bringle Alo,3g,300mg,0mg,250mg,3g
Mutar Paneer,5g,450mg,30mg,250mg,8g
Cucumber and Radish Salad,3g,100mg,0mg,150mg,1g
Channa Masala,3g,450mg,0mg,250mg,3g
Saag Alo,3g,450mg,0mg,300mg,3g
Alo Tama Bodi,3g,300mg,0mg,250mg,2g
Tarka Daal,3g,300mg,0mg,200mg,2g
Jeera Alu,3g,300mg,0mg,250mg,3g
Nepali Chicken Curry,5g,750mg,80mg,300mg,10g
Lamb Shashlik,3g,600mg,110mg,350mg,10g
Hyakula,5g,600mg,120mg,300mg,15g
Alo Achar,5g,300mg,0mg,200mg,2g
Chicken Momo,3g,450mg,60mg,250mg,5g
Black-Bean Burgers,5g,300mg,0mg,250mg,2g
Parmesan Toasts,3g,200mg,20mg,100mg,3g
Rice with Soy-Glazed Bonito Flakes and Sesame Seeds,3g,450mg,15mg,200mg,2g
Shirazi Salad,3g,100mg,0mg,150mg,1g
Sesame Noodles with Chili Oil and Scallions,5g,750mg,0mg,200mg,5g
Thai Green Curry,8g,750mg,10mg,300mg,10g
Ground Pork Menudo,8g,600mg,120mg,300mg,15g
Bao Bun,3g,300mg,10mg,100mg,2g
Garlic Naan,3g,300mg,10mg,100mg,3g
Egg Curry with Tomatoes and Cilantro,5g,600mg,180mg,250mg,8g
Kimchi Bokumbab,5g,900mg,80mg,350mg,8g
Korean fried Chicken,5g,900mg,80mg,250mg,10g
Prawn kastu Curry,8g,750mg,75mg,300mg,10g
Beef Bibimbab,8g,750mg,120mg,300mg,10g
Sweet and Sour Chicken Fried Rice,15g,750mg,80mg,250mg,8g
Sea Food Soup,5g,600mg,75mg,250mg,5g
Pad Thai,15g,900mg,20mg,250mg,5g
Spicy Kimchi Tofu Stew,5g,900mg,0mg,350mg,2g
Slow-Roasted Pork,5g,450mg,120mg,300mg,15g
Pico de Gallo Verde,3g,150mg,0mg,150mg,1g
Pineapple-Coconut Rice,10g,200mg,0mg,150mg,3g
Lamb and Green Squash Dumplings,5g,450mg,110mg,250mg,8g
Crispy Tofu Balls,3g,200mg,0mg,150mg,3g
Grilled Chicken with Almond and Garlic Sauce,5g,450mg,80mg,300mg,8g
Parmesan Cauliflower and Parsley Salad,5g,300mg,20mg,200mg,3g
Vietnamese Chicken Salad,5g,200mg,80mg,200mg,2g
Eggplant and Beef Stir-Fry,5g,600mg,120mg,300mg,10g
Stir-Fried Lettuces With Crispy Shallots,3g,200mg,0mg,150mg,2g
Chicken and Dumplings,5g,450mg,80mg,250mg,8g
Asian Salmon Bowl with Lime Drizzle,5g,450mg,75mg,300mg,5g
Pasta with Garlic-Scape Pesto,3g,450mg,10mg,200mg,5g
Pico de Gallo,3g,150mg,0mg,150mg,1g
Basmati Rice with Summer Vegetable Salad,3g,150mg,0mg,200mg,1g
Fresh Corn Tortillas,1g,100mg,0mg,50mg,0.5g
Quinoa Tabbouleh,3g,100mg,0mg,200mg,1g
Grilled Clams With Herb Butter,3g,300mg,50mg,200mg,5g
Rajas Poblanas,5g,200mg,10mg,200mg,3g
Braised Beef Short Ribs,5g,600mg,120mg,300mg,15g
Fig and Sesame Tart with Cardamom Orange Cream,25g,100mg,30mg,150mg,8g
Rouille,3g,300mg,20mg,100mg,5g
Kimchi Toast,5g,450mg,20mg,200mg,3g
Melted Broccoli Pasta With Capers and Anchovies,5g,600mg,20mg,250mg,5g
Lemon-Ginger Cake with Pistachios,25g,150mg,40mg,150mg,10g
Rosemary Roasted Vegetables,5g,150mg,0mg,300mg,2g
